.,Jarak1,jarak2,Jarak3,Jarak4,Jarak5,Jarak6,Jarak7,Jarak8,Jarak9,Jarak10
1,3478.355934,6567.599273,11761.89306,13402.73306,16672.75304,21857.05789,17556.45096,16888.99942,16888.99942,18973.88
2,3478.355934,3095.048854,9618.544643,10397.20266,13775.79674,15263.10527,13410.93506,13688.10453,13688.10453,19032.5558
3,6567.599273,3095.048854,8747.395848,8250.487028,11292.09346,13421.88052,10335.46462,10628.6878,10628.6878,16206.94251
4,11761.89306,9618.544643,8747.395848,4396.054292,17756.6174,21006.49831,11794.52452,14123.11511,14123.11511,15039.08374
5,13402.73306,10397.20266,8250.487028,4396.054292,14496.83266,7518.347226,10108.79698,11876.65145,11876.65145,17211.9135
6,11292.09346,10573.8929,4318.266066,8915.003599,5930.275685,6015.769786,8599.095485,5331.632297,5331.632297,11251.25033
7,10573.8929,6361.71812,16463.06102,16145.76898,3994.7992,10948.00855,6327.881077,11629.20887,11629.20887,14490.26279
8,13421.88052,4318.266066,6361.71812,13193.82348,10247.80487,10212.58031,5366.852413,6826.473808,6826.473808,13225.71008
9,10335.46462,11794.52452,7518.347226,8915.003599,3154.340119,4508.449653,6237.495541,11155.98789,11155.98789,12823.4352
10,10628.6878,10108.79698,5930.275685,10247.80487,3154.340119,1996.230719,8214.966066,8110.445674,8110.445674,10773.38539
11,12554.61705,11876.65145,6015.769786,10212.58031,4508.449653,1996.230719,8058.82654,6752.945457,6752.945457,8782.911706
12,16206.94251,15039.08374,10787.3688,13962.87894,6237.495541,8214.966066,8058.82654,14156.9398,14156.9398,12660.99916
13,8599.095485,3994.7992,5366.852413,13360.62736,7389.614149,5725.755204,10058.05187,9218.298584,9218.298584,10559.37109
14,5331.632297,10948.00855,6826.473808,8110.445674,6752.945457,7389.614149,9712.522553,10098.36259,10098.36259,7522.825495
15,14294.40314,6327.881077,10975.05835,5725.755204,12105.83046,5359.13233,8098.522319,14231.00797,14231.00797,11916.86477
16,12540.05439,10125.82446,9347.585921,7593.381919,7913.713249,9712.522553,15806.74618,5282.809784,5282.809784,10073.73686
17,11629.20887,15396.61949,10058.05187,14404.77288,5359.13233,6071.258129,8935.059297,11075.29122,11075.29122,15155.69225
18,9218.298584,10098.36259,8098.522319,6071.258129,11731.82793,10529.82132,5045.881304,8519.871454,8519.871454,12408.57669
19,18839.37261,14231.00797,8935.059297,11731.82793,15997.61839,12060.58567,15420.8794,11458.51953,11458.51953,18824.48032
20,11251.25033,10773.38539,8782.911706,12660.99916,6616.710095,5282.809784,10529.82132,5592.199481,5592.199481,10448.68917
21,12844.57667,10559.37109,7522.825495,11916.86477,10866.80192,11075.29122,5045.881304,5592.199481,5592.199481,10854.17256
22,12661.5832,8519.871454,12060.58567,12235.05484,8330.656036,4078.317182,4675.635166,7006.234122,7006.234122,8048.388075
23,10073.73686,10448.68917,13016.58283,12928.87078,10516.05534,15494.9377,13831.10074,16612.98473,16612.98473,7498.145976
24,12287.40598,13230.62966,10854.17256,4078.317182,10516.05534,4979.450905,4417.354842,9113.012116,9113.012116,4196.733707
25,12408.57669,11458.51953,12984.99735,4675.635166,4979.450905,3992.705237,8387.781578,12706.75299,12706.75299,8770.841653
26,14944.68183,7006.234122,13831.10074,4417.354842,3992.705237,5007.349373,10044.81317,9988.943241,9988.943241,6394.930251
27,18824.48032,12008.76064,16612.98473,9113.012116,8387.781578,5007.349373,5302.398641,5075.416218,5075.416218,9353.278834
28,21487.71655,16876.1731,21602.49941,14339.66912,12706.75299,10044.81317,5302.398641,3698.969142,3698.969142,14554.18419
29,23524.72759,16982.00768,19357.45565,13759.22164,13458.19126,9988.943241,5075.416218,3698.969142,3698.969142,12911.25422
30,24388.72204,17833.59253,16482.29618,13968.09978,15444.98118,11481.00267,7905.113487,8889.930845,8889.930845,11586.32475
31,13599.10454,12929.71015,8048.388075,7498.145976,4196.733707,8770.841653,6394.930251,9353.278834,12911.25422,11586.32475
